action,new_state,reward,state
4.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]",-2.6199907398831748,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]"
125.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]",-2.49482448992299,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]"
61.0,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]",-2.3987140318734896,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]"
51.0,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  38  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]",-3.6598429900879657,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]"
94.0,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  38  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]",-4.78463298174815,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  38  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]"
69.0,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]",-5.017989778353353,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  38  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]"
8.0,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]",-4.113506797798035,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]"
118.0,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]",-5.124381702019598,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]"
31.0,"[ 80 200 320  40 180 280  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]",-3.5486170563893777,"[ 80 200 320  40 180 300  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]"
38.0,"[ 80 200 320  40 180 280  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  44  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]",-5.906870148253261,"[ 80 200 320  40 180 280  60 200 320  80 160 320  40 180 320  60 180 320
  40 180 320  42  40  40  40  40  40  42  38  38  36  40  38  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   1   1   1   1   1   0]"
